log_units_sold,price,rating,rating_count,badges_count,product_variation_inventory,merchant_rating_count,merchant_rating,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badge_product_quality,merchant_has_profile_picture,size_m,size_other,size_s,size_xs,tag_summer,tag_women's fashion,tag_sexy,tag_tank
4.605170185988092,0.3076923076923077,0.935,0.0022657153875819515,0.0,1.0,0.013009065189780266,0.6260999371464488,0.00357653791130186,0.000722543352601156,0.0009813542688910698,0.000576036866359447,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
9.903487552536127,0.3846153846153847,0.74,0.03210566910913999,0.0,1.0,0.025415783133186882,0.6709249329758711,0.032188841201716736,0.024084778420038536,0.02976774615636245,0.02707373271889401,0.02438149874506992,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
4.605170185988092,0.42307692307692313,0.74,0.011907057462398766,0.0,1.0,0.08698875436769893,0.664666624890337,0.012070815450643776,0.008911368015414258,0.01046777886817141,0.009792626728110598,0.00932233775546791,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
,0.19230769230769232,0.75,0.0001928268414963363,0.0,1.0,0.38099962387366515,0.6874409820585459,0.000178826895565093,0.00024084778420038535,0.0,0.000576036866359447,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
4.605170185988092,0.5000000000000001,0.7625,0.00805052063247204,0.0,1.0,0.061900037612633484,0.5770166439170445,0.008315450643776824,0.007707129094412331,0.005888125613346418,0.002880184331797235,0.006812477590534242,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
2.302585092994046,0.2692307692307693,0.6375,0.005784805244890089,0.0,0.9795918367346937,0.02002736455363616,0.6765446379967339,0.0042024320457796855,0.0050578034682080926,0.006542361792607131,0.008640552995391706,0.00609537468626748,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
,0.2692307692307693,0.7525,0.0130158118010027,0.0,1.0,0.006028923570038539,0.7034923146473779,0.012607296137339056,0.013246628131021194,0.01046777886817141,0.01152073732718894,0.007888131946934386,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
,0.2692307692307693,0.6525,0.01123216351716159,0.0,0.0,0.08955622543595224,0.5820766632174814,0.008136623748211731,0.013728323699421965,0.009159306509649984,0.009792626728110598,0.014342058085335247,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
,0.2307692307692308,0.7675000000000001,0.0014462013112225222,0.0,1.0,0.0457974695964546,0.6831369398321729,0.001609442060085837,0.0009633911368015414,0.0013084723585214263,0.0,0.0014342058085335247,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
8.517193191416238,0.2692307692307693,0.4525,0.0010123409178557656,0.0,1.0,8.449214768137194e-05,0.467741935483871,0.0004470672389127325,0.0004816955684007707,0.0013084723585214263,0.002304147465437788,0.002151308712800287,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
