price,units_sold,rating,rating_count,badges_count,badge_product_quality,product_variation_inventory,shipping_option_price,merchant_rating_count,merchant_rating,merchant_has_profile_picture,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,size_m,size_other,size_s,size_xs,log_units_sold,tag_summer,tag_women's fashion,tag_sexy,tag_tank
2.66,5000,3.44,1136,0,0,50,1,223392,4.3063628061882255,0,418.0,187.0,201.0,133.0,197.0,1,0,0,0,8.517193191416238,0,1,1,1
9.0,10000,3.8,1231,0,0,50,3,10600,3.8675471698113206,0,555.0,240.0,211.0,87.0,138.0,0,0,1,0,9.210340371976184,1,1,0,1
11.0,1000,4.16,274,1,1,50,3,13946,4.000143410296859,0,162.0,47.0,34.0,10.0,21.0,0,0,1,0,6.907755278982137,1,1,1,0
8.0,100,2.75,8,0,0,50,3,47981,4.025364206665138,0,2.0,0.0,3.0,0.0,3.0,0,0,1,0,4.605170185988092,1,0,0,1
14.0,5000,4.06,643,0,0,2,3,80093,4.006692220293909,0,365.0,109.0,73.0,33.0,63.0,0,1,0,0,8.517193191416238,1,1,1,0
5.8,100,3.83,6,0,0,1,1,16741,3.9208529956394482,0,3.0,1.0,1.0,0.0,1.0,0,0,0,1,4.605170185988092,1,0,0,0
13.0,1000,4.16,138,1,1,50,3,12913,3.981336637497096,1,82.0,27.0,10.0,7.0,12.0,0,0,1,0,6.907755278982137,1,1,0,0
9.0,50000,4.26,5359,1,1,50,3,59198,4.105054224804892,0,3111.0,1172.0,650.0,204.0,222.0,0,1,0,0,10.819778284410283,0,1,1,0
7.0,10,1.5,2,0,0,50,2,397,3.858942065491184,0,0.0,0.0,0.0,1.0,1.0,0,0,1,0,2.302585092994046,1,1,1,0
12.0,100,3.79,24,0,0,50,3,196,4.020408163265306,0,11.0,6.0,2.0,1.0,4.0,0,0,1,0,4.605170185988092,1,0,0,0
3.69,100,3.53,59,0,0,2,1,10917,4.3648438215627,0,22.0,11.0,12.0,4.0,10.0,0,0,0,1,4.605170185988092,1,1,0,0
5.0,10000,3.82,3208,1,0,50,1,27055,4.151395305858436,0,1467.0,607.0,558.0,241.0,335.0,0,1,0,0,9.210340371976184,0,1,0,1
5.84,100,3.28,36,0,0,50,1,40943,4.017487726839753,0,11.0,4.0,11.0,4.0,6.0,0,0,1,0,4.605170185988092,1,1,1,1
16.0,10,3.0,3,0,0,2,4,31,3.5483870967741935,0,0.0,2.0,0.0,0.0,1.0,0,1,0,0,2.302585092994046,1,0,0,0
13.0,1000,4.03,855,0,0,50,3,9136,4.085704903677758,1,451.0,165.0,120.0,51.0,68.0,0,0,1,0,6.907755278982137,0,1,0,0
9.0,10000,3.18,1783,0,0,50,3,10474,3.908535421042582,0,535.0,289.0,344.0,189.0,426.0,0,0,1,0,9.210340371976184,1,1,0,0
7.0,100,3.8,61,0,0,50,2,139607,4.2163859978367855,0,28.0,11.0,12.0,2.0,8.0,0,0,1,0,4.605170185988092,1,1,0,0
11.0,100,3.43,14,0,0,50,2,3120,4.174679487179486,0,5.0,3.0,2.0,1.0,3.0,0,0,1,0,4.605170185988092,1,1,0,1
5.84,1000,4.19,307,0,0,1,1,10377,4.172785968969837,0,171.0,71.0,35.0,12.0,18.0,0,1,0,0,6.907755278982137,1,1,1,0
1.0,1000,3.8,5,0,0,37,1,8197,3.858118823959985,0,3.0,0.0,1.0,0.0,1.0,0,1,0,0,6.907755278982137,1,1,0,1
11.0,1000,3.38,37,0,0,49,2,703,3.9601706970128014,0,15.0,3.0,9.0,1.0,9.0,0,0,1,0,6.907755278982137,1,1,0,0
9.0,5000,4.03,889,0,0,50,3,16013,4.1088490601386365,0,464.0,178.0,126.0,52.0,69.0,0,1,0,0,8.517193191416238,1,1,0,0
6.0,1000,3.5,938,0,0,1,2,13309,3.876699977458863,0,349.0,171.0,173.0,88.0,157.0,0,1,0,0,6.907755278982137,1,0,1,0
1.0,100,3.56,52,0,0,2,1,91631,3.83793694273772,1,22.0,8.0,9.0,3.0,10.0,0,1,0,0,4.605170185988092,1,1,0,0
9.0,5000,4.06,743,0,0,50,3,20681,3.9993714037038814,1,400.0,142.0,103.0,45.0,53.0,0,0,1,0,8.517193191416238,1,1,1,1
6.0,100,4.0,8,0,0,5,2,127,3.874015748031496,0,5.0,0.0,1.0,2.0,0.0,0,0,0,1,4.605170185988092,1,1,0,0
11.0,1000,4.13,211,0,0,50,2,11597,4.2152280762266106,0,120.0,37.0,31.0,8.0,15.0,1,0,0,0,6.907755278982137,1,1,0,0
7.0,50,4.0,4,0,0,50,2,34,4.352941176470588,0,3.0,0.0,0.0,0.0,1.0,0,0,0,1,3.912023005428146,1,1,0,0
5.0,50,5.0,2,0,0,17,1,9,3.6666666666666665,0,2.0,0.0,0.0,0.0,0.0,0,0,0,1,3.912023005428146,1,1,0,0
2.72,100,3.1,20,0,0,1,1,14482,4.001588178428394,0,6.0,4.0,2.0,2.0,6.0,0,0,1,0,4.605170185988092,1,1,0,0
5.87,1000,3.91,209,0,0,6,1,6187,4.391304347826087,0,100.0,41.0,34.0,17.0,17.0,0,0,1,0,6.907755278982137,1,1,0,0
11.0,5000,3.72,1008,0,0,50,2,61895,4.268002261895145,1,447.0,201.0,135.0,81.0,144.0,1,0,0,0,8.517193191416238,1,1,1,0
8.0,100,2.71,7,0,0,4,3,224,3.8928571428571432,0,1.0,1.0,2.0,1.0,2.0,0,0,0,1,4.605170185988092,1,1,0,0
14.0,1000,3.81,187,0,0,50,4,11900,4.150756302521009,1,84.0,40.0,28.0,14.0,21.0,1,0,0,0,6.907755278982137,1,0,0,0
2.0,100,3.47,32,0,0,1,1,4856,4.167627677100494,0,11.0,6.0,5.0,7.0,3.0,0,1,0,0,4.605170185988092,1,1,0,0
8.0,10000,3.93,1670,0,0,50,3,66644,4.137581777804454,1,823.0,340.0,250.0,89.0,168.0,1,0,0,0,9.210340371976184,1,1,0,1
5.79,1000,3.41,212,0,0,50,2,21012,4.189843898724538,1,73.0,49.0,23.0,25.0,42.0,0,0,0,1,6.907755278982137,1,1,0,0
8.0,100,3.74,47,0,0,50,3,50593,3.8767616073369835,0,24.0,5.0,6.0,6.0,6.0,0,0,1,0,4.605170185988092,1,1,0,1
4.94,10000,3.93,1331,0,0,6,1,55670,4.1214837434884135,1,659.0,255.0,199.0,101.0,117.0,1,0,0,0,9.210340371976184,1,1,0,0
8.0,10000,3.82,2520,0,0,50,3,8821,3.8720099761931763,0,1220.0,433.0,365.0,203.0,299.0,1,0,0,0,9.210340371976184,1,1,0,1
11.0,100,3.46,50,0,0,50,3,225438,4.301120485454981,0,20.0,7.0,8.0,6.0,9.0,0,0,1,0,4.605170185988092,1,1,0,0
8.0,10,5.0,0,0,0,50,2,1496,4.1697860962566855,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,2.302585092994046,0,1,1,1
9.0,50,4.5,4,0,0,50,3,8397,4.120281052756937,0,2.0,2.0,0.0,0.0,0.0,0,0,1,0,3.912023005428146,1,1,0,0
7.0,100,4.26,53,0,0,50,2,2055,3.8379562043795614,1,30.0,14.0,5.0,1.0,3.0,0,0,1,0,4.605170185988092,1,1,0,0
11.0,10000,4.24,1045,0,0,50,3,9200,4.289673913043479,0,644.0,183.0,114.0,38.0,66.0,0,0,1,0,9.210340371976184,1,1,0,0
8.0,100,3.56,16,0,0,50,2,7076,3.968061051441493,0,6.0,5.0,0.0,2.0,3.0,0,0,1,0,4.605170185988092,1,1,0,0
5.83,10000,4.22,2055,0,0,1,1,126370,4.14695734747171,1,1162.0,488.0,212.0,83.0,110.0,0,0,1,0,9.210340371976184,1,1,1,0
8.0,1000,3.42,373,0,0,50,2,1322,3.965204236006052,0,144.0,57.0,60.0,35.0,77.0,0,0,1,0,6.907755278982137,1,1,0,0
5.77,100,4.0,4,0,0,45,1,8996,3.915740329035127,0,1.0,2.0,1.0,0.0,0.0,0,0,1,0,4.605170185988092,1,1,1,1
5.9,10000,3.64,1933,0,0,4,1,2366,3.951817413355875,0,867.0,298.0,299.0,151.0,318.0,0,1,0,0,9.210340371976184,1,1,0,0
6.0,100,3.08,13,0,0,50,2,2776,3.931195965417868,0,4.0,2.0,2.0,1.0,4.0,0,0,1,0,4.605170185988092,1,1,1,0
7.0,50000,4.41,17444,1,1,2,2,126370,4.14695734747171,1,11548.0,3191.0,1632.0,507.0,566.0,1,0,0,0,10.819778284410283,1,1,1,1
8.0,10000,3.7,1404,0,0,1,2,4178,3.9375299186213497,0,593.0,278.0,232.0,124.0,177.0,1,0,0,0,9.210340371976184,1,1,0,0
12.0,1000,3.81,341,0,0,50,3,2248,4.150355871886121,0,163.0,63.0,48.0,21.0,46.0,0,0,1,0,6.907755278982137,1,1,0,0
5.78,20000,4.0,3975,0,0,50,1,6555,4.184134248665141,0,2054.0,774.0,576.0,242.0,329.0,0,0,0,1,9.903487552536127,0,0,0,0
12.0,5000,3.94,387,0,0,50,3,1288,3.978260869565217,0,189.0,76.0,67.0,21.0,34.0,0,0,1,0,8.517193191416238,1,1,0,0
11.0,20000,4.07,3070,0,0,50,2,12974,3.965700632033297,0,1635.0,642.0,392.0,177.0,224.0,0,1,0,0,9.903487552536127,1,1,0,0
8.0,100,4.29,31,1,1,50,2,5846,3.8325350667122815,0,19.0,5.0,5.0,1.0,1.0,0,0,1,0,4.605170185988092,1,1,0,0
11.0,100,3.46,50,0,0,50,3,225438,4.301120485454981,0,20.0,7.0,8.0,6.0,9.0,0,0,1,0,4.605170185988092,1,1,0,0
5.77,100000,4.1,20744,0,0,50,2,330405,4.06734764909732,1,11184.0,4152.0,2919.0,1174.0,1315.0,0,0,0,1,11.512925464970229,0,1,0,1
9.0,20000,3.7,3820,0,0,44,3,15748,4.064643129286258,0,1726.0,654.0,568.0,324.0,548.0,1,0,0,0,9.903487552536127,1,1,1,1
1.72,100,3.77,30,0,0,10,1,32168,3.8845436458592384,0,15.0,3.0,5.0,4.0,3.0,0,0,0,1,4.605170185988092,1,1,0,0
1.86,100,3.57,42,0,0,2,1,7248,3.9430187637969096,0,17.0,9.0,4.0,5.0,7.0,0,0,0,1,4.605170185988092,1,1,0,0
14.0,100,4.54,13,0,0,50,3,54,4.185185185185185,0,10.0,2.0,0.0,0.0,1.0,0,0,0,1,4.605170185988092,1,1,1,0
3.69,1000,3.64,212,0,0,5,1,1559,4.039127645926877,0,95.0,33.0,32.0,16.0,36.0,0,0,0,1,6.907755278982137,1,1,0,0
5.79,1000,3.32,121,0,0,50,2,5083,3.9474719653747785,0,36.0,24.0,23.0,19.0,19.0,0,0,1,0,6.907755278982137,1,1,0,1
