,price,retail_price,units_sold,uses_ad_boosts,rating,rating_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,merchant_rating_count,merchant_rating,merchant_has_profile_picture,product_url,limited_quantity,discount,no_urgency,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,origin_m,origin_other,origin_s,origin_xs,origin_CN,origin_US,origin_VE,origin_other,origin_m,origin_other,origin_s,origin_xs
17,5.0,25,100000,1,3.83,17980,0,0,0,0,"blouse,Plus Size,Lace,lace top,Tops,Fashion,strappy,sexy,sleeveless,summer tops,Women Fashion",s,50,Livraison standard,1,0,41,50,139223,3.933581376640354,0,https://www.wish.com/c/5b07a7c6e997b33c6f9947da,1,0,0,8290.0,3483.0,2951.0,1410.0,1846.0,0,0,1,0,1,0,0,0,0,0,1,0
18,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,1,2456.0,1162.0,853.0,431.0,577.0,0,1,0,0,0,0,0,1,0,1,0,0
19,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,1,0,0,87.0,36.0,49.0,17.0,25.0,0,1,0,0,0,0,0,1,0,1,0,0
20,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,1,506.0,274.0,216.0,81.0,106.0,0,1,0,0,0,0,0,1,0,1,0,0
21,5.0,6,20000,0,3.6,3552,0,0,0,0,"Summer,Vest,Fashion,Tank,Lace,Tops,slim,Women's Fashion,tank top,T Shirts,Lace Up,topsamptee,sexy,sleeveless,Women,Women Fashion,Cotton",s,11,Livraison standard,2,0,41,50,12913,3.981336637497096,1,https://www.wish.com/c/5c244b73e6a1c618296f73db,0,0,1,1437.0,632.0,610.0,358.0,515.0,0,0,1,0,1,0,0,0,0,0,1,0
22,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,1,27.0,11.0,11.0,8.0,15.0,0,1,0,0,0,0,0,1,0,1,0,0
23,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,1,0,0,213.0,98.0,85.0,45.0,69.0,0,1,0,0,0,0,0,1,0,1,0,0
24,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,1,290.0,145.0,104.0,61.0,78.0,0,1,0,0,1,0,0,0,0,1,0,0
25,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,1,323.0,116.0,58.0,28.0,42.0,0,1,0,0,0,0,0,1,0,1,0,0
26,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,1,105.0,48.0,39.0,12.0,12.0,0,1,0,0,0,0,0,1,0,1,0,0
27,5.65,5,20000,0,4.29,2996,1,0,1,0,"Women Vest,Vest,Fashion,yoga top,low cut,Women's Fashion,off shoulder,sportwear,sleeveless,sexy,Casual,sexyvest,knitted,Tank,Shirt,Tops,Slim Fit,beach wear,soildcolor,Women,Print,Lace Up,Cotton,tank top",s,50,Livraison standard,2,0,43,50,40943,4.017487726839753,0,https://www.wish.com/c/5a4f2d8f5dcd0221008b2c36,1,0,0,1781.0,628.0,374.0,104.0,109.0,0,0,1,0,1,0,0,0,0,0,1,0
28,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,1,7.0,3.0,1.0,0.0,1.0,0,1,0,0,0,0,0,1,0,1,0,0
29,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,1,156.0,70.0,34.0,18.0,23.0,0,1,0,0,1,0,0,0,0,1,0,0
30,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,1,0,0,17.0,4.0,6.0,3.0,1.0,0,1,0,0,0,0,0,1,0,1,0,0
31,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,1,137.0,42.0,24.0,9.0,5.0,0,1,0,0,1,0,0,0,0,1,0,0
32,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,1,215.0,76.0,65.0,29.0,58.0,0,1,0,0,0,0,0,1,0,1,0,0
